,0,1,InspName,InspAddress
11754,Bryn Mawr Breakfast Club,3348 W Bryn Mawr Ave,BRYN MAWR BREAKFAST CLUB,3348-3350 W BRYN MAWR AVE 
11755,Lees Wok,5808 W North Ave,LEE'S WOK,5808 W NORTH AVE 
11756,Cedar House,655 W Armitage Ave,CEDAR HOUSE,655 W ARMITAGE AVE 
11757,Central Bakery,3911 W North Ave,CENTRAL BAKERY,3911 W NORTH AVE 
11758,101 N Wacker Dr,101 N Wacker Dr,INS WACKER-101 N WACKER,101 N WACKER DR 
11759,Jimmy John's,974 W. 35th Place,JIMMY JOHN'S #717,974 W 35TH PL 
11760,1871,222 W Merchandise Mart Plz,FRESHII 1871,222 W MERCHANDISE MART PLZ 
11761,Gallery Guichard,436 E 47th St,GALLERY GUICHARD,436-442 E 47TH ST 
11762,Uncle Remus Fried Chicken,4650 W North Ave,UNCLE REMUS CHICKEN,4650 W NORTH AVE 
11763,D'anardo's Pizza,6535 W 63rd St,D'ANARDO,6535 W 63RD ST 
11764,McDonald's,1035 W Randolph St,MCDONALD'S - McCAFE',1035 W RANDOLPH ST 
11765,Savory Spice Shop,4753 N Lincoln Ave,SAVORY SPICE SHOP,4753 N LINCOLN AVE 
11766,Snappers Seafood & Chicken,11500 S Western Ave,WINDY CITY SNAPPERS SEAFOOD & CHICKEN,11500 S WESTERN AVE 
11767,The Salvation Army,506 N Desplaines St,SALVATION ARMY,506 N DES PLAINES ST 
11768,Bottlefork,441 N Clark,BOTTLEFORK,441 N CLARK ST 
11769,Acapulco Bakery,6044 W 63rd St,ACAPULCO BAKERY #2 INC.,6044 W 63RD ST 
11770,Zaki Mediterranean Grill,610 W Roosevelt Rd,FIESTA GRILL,5636 W ROOSEVELT RD 
11771,New Tokyo,3139 N Broadway St,NEW TOKYO,3139 N BROADWAY 
11772,Woodlawn Fresh Market,6319 S Vernon Ave,"WOODLAWN SUPER FAIR, LLC",6319 S VERNON AVE 
11773,Merlo On Maple,16 W Maple St,MERLO ON MAPLE,16 W MAPLE ST 
11774,Liquor Expo,2154 N Halsted St,LIQUOR EXPO,2154 N HALSTED ST 
11775,Burger King,5211 South Cicero Ave,BURGER KING #3386,5211 S CICERO AVE 
11776,The Dog Stop,6100 W Belmont Ave,THE DOG STOP,6100 W BELMONT AVE 
11777,Bergstein's NY Delicatessen - Hyde Park,1164 E 55th St,"BERGSTEIN'S NY DELICATESSEN, LLC",1164 E 55TH ST 
11778,Ravens,2326 N Clark St,RAVENS,2326 N CLARK ST 
11779,La Trailita,5940 W Diversey Ave,LA TRAILITA,5940 W DIVERSEY AVE 
11780,Township,2200 N California Ave,TOWNSHIP,2200-2202 N CALIFORNIA AVE 
11781,Chopal Kabab & Steak,2240 W Devon Ave,CHOPAL KABAB & STEAK,2240-2242 W DEVON AVE 
11782,7-Eleven,1404 W Pratt Ave,7-ELEVEN #18473E,1404 W PRATT BLVD 
11783,Walgreens,1627 N Pulaski Rd,WALGREENS #11410,1627 N PULASKI RD 
11784,Subway,5240 N Pulaski Rd,SUBWAY 14641,5240 N PULASKI RD 
11785,Forman Mills,1450 N Cicero Ave,FORMAN MILLS INC.,1450 N CICERO AVE 
11786,Perez Restaurant,853 W Randolph St,VIVO RESTAURANT,838 W RANDOLPH ST 
11787,The Royal Palms Shuffleboard Club,1750 N Milwaukee Ave,ROYAL PALMS SHUFFLEBOARD CLUB,1750 N MILWAUKEE AVE 
11788,Ada's Market & Deli,6165 N Northwest Hwy,ADA'S MARKET & DELI,6165 N NORTHWEST HWY 
11789,Taste of Chicago,12303 S Halsted St,TASTE OF CHICAGO,12303 S HALSTED ST 
11790,Lao Sze Chuan,2172 S Archer Ave,LAO SZE CHUAN RESTAURANT,2172 S ARCHER AVE 
11791,Perennial,1800 N Lincoln Ave,PERENNIAL,1800 N LINCOLN AVE 
11792,IHOP,7601 S Cicero Ave,IHOP,7601 S CICERO AVE 
11793,Uptown Underground,4707 N Broadway,UPTOWN UNDERGROUND,4703-4713 N BROADWAY 
11794,Ozzie's Pops & Pretzels,600 E Grand Ave,OZZIE'S POPS & PRETZELS,600 E GRAND AVE 
11795,Steep Theatre,1115 W Berwyn Ave,STEEP THEATRE COMPANY,1113-1115 W BERWYN AVE 
11796,Dunkin',100 W Randolph St,DUNKIN DONUTS,100 W RANDOLPH ST STE C-19
11797,Italian Pizza House,3443 N Milwaukee Ave,ITALIAN PIZZA HOUSE,3443 N MILWAUKEE AVE 
11798,Mike's Place,6977 N Western Ave,MIKE'S PLACE,6977 N WESTERN AVE 
11799,Splash Chicago,3339 N Halsted St,SPLASH CHICAGO,3339-3341 N HALSTED ST 
11800,Give Me Some Sugar,2205 W Belmont Ave,GIVE ME SOME SUGAR,2205 W BELMONT AVE 
11801,Antojitos El Ranchito,3412 W 79th St,ANTOJITOS DURANGO,3412 W 79TH ST 
11802,Baba's Famous Steak and Lemonade,2660 E 79th St,SN FOODS,2900 E 79TH ST 
11803,Subway,233 N Michigan Ave,SUBWAY #45927,233 N MICHIGAN AVE 
11804,Sushi Mura,3647 N Southport Ave,SUSHI MURA JAPANESE RESTAURANT,3647 N SOUTHPORT AVE 
11805,Big Bob and Fritzys,723 W Armitage Ave,BIG BOB & FRITZY'S,723 W ARMITAGE AVE 
11806,Moher Public House,5310 W Devon Ave,MOHER PUBLIC HOUSE,5310 W DEVON AVE 
11807,Mike's Revenge,131 N Clinton St,MIKE'S REVENGE,131 N CLINTON ST 
11808,Cafe Orient 33,4829 N Kedzie Ave,CAFE ORIENT 33,4829 N KEDZIE AVE 
11809,Meeting House Tavern,5025 N Clark St,MEETING HOUSE TAVERN,5025 N CLARK ST 
11810,McDonald's,23 N Western Ave,McDONALDS,23 N WESTERN AVE 
11811,D-Benny Grill,1005 W Argyle St,D-BENNY GRILL,1005 W ARGYLE ST 
11812,Ruk Sushi & Thai - Albany Park,4700 N Kimball Ave,RUK SUSHI & THAI,4700 N KIMBALL AVE 
11813,East Coast Pantry,611 S Wells St,EAST COAST PANTRY CHICAGO,611 S WELLS ST 
11814,Brisku's Bistro,4100 N Kedzie Ave,BRISKU BISTRO,4100-4102 N KEDZIE AVE 
11815,Señor Pan Café,5059 W Diversey Ave,SENOR PAN CAFE,5059 W DIVERSEY AVE 
11816,7th Floor Sky Lobby,5700 S Maryland Ave,SKY LOBBY,5700 S MARYLAND AVE 
11817,Frankie's Scaloppine,900 N Michigan Ave,FRANKIE'S SCALOPPINE,900 N MICHIGAN AVE 
11818,Steak Hoagy Sweet & More,8154 S Cottage Grove Ave,STEAK HOAGY SWEET & MORE INC,8154 S COTTAGE GROVE AVE 
11819,Pancake Cafe - Chicago,3805 N Broadway,PANCAKE CAFE,3805 N BROADWAY 
11820,Square Bar & Grill,2849 W Belmont Ave,SQUARE GRILL,2849 W BELMONT AVE 
11821,Original Bemo's,5000 W Fullerton Ave,ORIGINAL BEMO'S,5000 W FULLERTON AVE 
11822,Thirteen Pins Tapas + Bar,4202 W Irving Park Rd,13 Pins Tapas & Grill,4202 W Irving Park RD 
11823,Parts and Labor,2700 N Milwaukee Ave,PARTS AND LABOR,2700 N MILWAUKEE AVE 
11824,Asian Cajun,2428 N Ashland Ave,ASIAN CAJUN,2428 N ASHLAND AVE 
11825,Kimpton Hotel Palomar Chicago,505 N State St,PALOMAR CHICAGO,505 N STATE ST 
11826,El Nuevo Borinquen,1720 N California Ave,EL NUEVO BORIQUEN,1720 N CALIFORNIA AVE 
11827,The Wheelhouse Hotel,3475 N Clark St,THE WHEELHOUSE HOTEL,3469-3475 N CLARK ST 
11828,Oberoi's Indian Food & Grocery,255 W 31st St,OBEROIS INDIAN FOOD & GROCERY INC.,255 W 31ST ST 
11829,Marcellos Father and Son Restaurant,645 W North Ave,THE HAT,1604 W NORTH AVE 
11830,The Hideout Riverwalk,35 E Riverwalk S,HIDEOUT INN,35 E RIVERWALK SOUTH 
11831,Franconello's,10222 S Western Ave,FRANCONELLO'S,10222 S WESTERN AVE 
11832,Sip of Hope,3039 W Fullerton Ave,SIP OF HOPE,3039 W FULLERTON AVE 
11833,Weber’s Bakery,7055 W Archer Ave,WEBER'S BAKERY INC,7055 W ARCHER AVE 
